iter	Passed	Remaining
0	0	612
1	1	530
2	1	506
3	1	490
4	2	478
5	2	468
6	3	464
7	3	457
8	4	457
9	4	454
10	5	453
11	5	451
12	5	449
13	6	447
14	6	448
15	7	448
16	7	447
17	8	444
18	8	443
19	9	441
20	9	440
21	9	439
22	10	437
23	10	435
24	11	433
25	11	432
26	11	430
27	12	428
28	12	429
29	13	428
30	13	427
31	14	426
32	14	426
33	14	425
34	15	424
35	15	423
36	16	422
37	16	421
38	17	420
39	17	419
40	17	418
41	18	417
42	18	417
43	19	416
44	19	415
45	20	414
46	20	414
47	20	413
48	21	412
49	21	412
50	22	411
51	22	411
52	22	410
53	23	409
54	23	408
55	24	408
56	24	407
57	25	407
58	25	406
59	25	405
60	26	406
61	26	405
62	27	405
63	27	405
64	28	405
65	28	405
66	29	404
67	29	404
68	29	403
69	30	403
70	30	402
71	31	401
72	31	401
73	32	400
74	32	400
75	32	400
76	33	400
77	33	399
78	34	398
79	34	398
80	35	397
81	35	397
82	35	394
83	36	394
84	36	394
85	37	393
86	37	393
87	37	392
88	38	392
89	38	391
90	39	391
91	39	391
92	40	390
93	40	390
94	40	389
95	41	389
96	41	389
97	42	388
98	42	387
99	43	387
100	43	386
101	43	386
102	44	385
103	44	386
104	45	385
105	45	385
106	46	385
107	46	384
108	46	384
109	47	383
110	47	383
111	48	382
112	48	381
113	49	381
114	49	380
115	49	380
116	50	379
117	50	378
118	51	378
119	51	377
120	51	377
121	52	376
122	52	376
123	53	375
124	53	375
125	54	374
126	54	374
127	54	373
128	55	373
129	55	373
130	56	372
131	56	372
132	57	372
133	57	372
134	58	372
135	58	371
136	58	371
137	59	371
138	59	370
139	60	370
140	60	369
141	60	368
142	61	368
143	61	367
144	62	367
145	62	366
146	63	366
147	63	365
148	64	365
149	64	365
150	64	365
151	65	365
152	65	364
153	66	364
154	66	363
155	67	363
156	67	362
157	67	362
158	68	362
159	68	361
160	69	360
161	70	362
162	70	362
163	71	362
164	71	363
165	72	363
166	72	362
167	73	362
168	73	361
169	74	361
170	74	360
171	74	360
172	75	359
173	75	359
174	76	358
175	76	358
176	77	358
177	77	357
178	77	357
179	78	356
180	78	355
181	79	355
182	79	354
183	79	354
184	80	353
185	80	353
186	81	352
187	81	352
188	82	352
189	82	352
190	83	351
191	83	351
192	83	350
193	84	350
194	84	349
195	85	349
196	85	348
197	86	348
198	86	347
199	86	347
200	87	346
201	87	346
202	88	345
203	88	345
204	88	345
205	89	344
206	89	344
207	90	343
208	90	343
209	91	342
210	91	342
211	91	341
212	92	341
213	92	340
214	93	340
215	93	339
216	94	339
217	94	339
218	95	339
219	95	339
220	96	339
221	96	339
222	97	338
223	97	338
224	97	337
225	98	336
226	98	336
227	99	336
228	99	335
229	100	335
230	100	335
231	101	334
232	101	334
233	101	333
234	102	333
235	102	332
236	103	332
237	103	331
238	103	330
239	104	330
240	104	329
241	105	328
242	105	328
243	105	327
244	106	327
245	106	326
246	107	326
247	107	325
248	107	325
249	108	324
250	108	323
251	108	323
252	109	322
253	109	322
254	110	321
255	110	320
256	110	320
257	111	319
258	111	319
259	111	318
260	112	318
261	112	317
262	113	317
263	113	316
264	113	316
265	114	315
266	114	315
267	115	314
268	115	314
269	116	313
270	116	313
271	116	312
272	117	312
273	117	311
274	118	311
275	118	310
276	118	310
277	119	310
278	119	309
279	120	309
280	120	308
281	121	308
282	121	307
283	121	307
284	122	306
285	122	306
286	123	305
287	123	305
288	123	304
289	124	304
290	124	303
291	125	303
292	125	302
293	125	302
294	126	301
295	126	301
296	127	300
297	127	300
298	127	299
299	128	299
300	128	298
301	128	297
302	129	297
303	129	296
304	130	296
305	130	295
306	130	295
307	131	294
308	131	294
309	132	294
310	132	293
311	132	292
312	134	295
313	134	294
314	135	294
315	135	293
316	136	293
317	136	292
318	136	292
319	137	291
320	137	291
321	138	290
322	138	290
323	138	289
324	139	289
325	139	288
326	140	288
327	140	287
328	140	287
329	141	286
330	141	286
331	142	285
332	142	285
333	142	284
334	143	284
