iter	Passed	Remaining
0	133	13230
1	134	6572
2	134	4350
3	134	3239
4	135	2572
5	135	2127
6	136	1809
7	136	1570
8	136	1385
9	137	1236
10	137	1114
11	138	1013
12	138	927
13	138	853
14	139	789
15	139	733
16	140	684
17	140	640
18	141	601
19	141	566
20	142	534
21	142	504
22	142	478
23	143	453
24	143	431
25	144	410
26	144	390
27	144	372
28	145	355
29	145	340
30	146	325
31	146	311
32	147	298
33	147	286
34	147	274
35	148	263
36	148	253
37	149	243
38	149	234
39	150	225
40	150	216
41	150	208
42	151	200
43	151	193
44	152	186
45	152	179
46	153	172
47	153	166
48	154	160
49	154	154
50	154	148
51	155	143
52	155	138
53	156	133
54	156	128
55	156	123
56	157	118
57	157	114
58	158	109
59	158	105
60	159	101
61	159	97
62	159	93
63	160	90
64	160	86
65	161	83
66	161	79
67	162	76
68	162	72
69	162	69
70	163	66
71	163	63
72	164	60
73	164	57
74	164	54
75	165	52
76	165	49
77	166	46
78	166	44
79	167	41
80	167	39
81	167	36
82	168	34
83	168	32
84	168	29
85	169	27
86	169	25
87	170	23
88	170	21
89	170	18
90	171	16
91	171	14
92	172	12
93	172	11
94	173	9
95	173	7
96	173	5
97	174	3
98	174	1
99	175	0
